id,default_code,name,type,weight,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id:id,tracking,uom_id/id,uom_po_id/id,attribute_line_ids/attribute_id/id
container_P40,P40,Plastic barrel (tar:40),product,40,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P41,P41,Plastic barrel (tar:41),product,41,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P44,P44,Plastic barrel (tar:44),product,44,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_P48,P48,Plastic barrel (tar:48),product,48,0,1,0,1,maple.container_category_p,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S23,S23,Stainless Steel barrel (tar:23),product,23,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S41,S41,Stainless Steel barrel (tar:41),product,41,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S44,S44,Stainless Steel barrel (tar:44),product,44,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S45,S45,Stainless Steel barrel (tar:45),product,45,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S47,S47,Stainless Steel barrel (tar:47),product,47,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S48,S48,Stainless Steel barrel (tar:48),product,48,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S49,S49,Stainless Steel barrel (tar:49),product,49,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S50,S50,Stainless Steel barrel (tar:50),product,50,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S53,S53,Stainless Steel barrel (tar:53),product,53,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_S59,S59,Stainless Steel barrel (tar:59),product,59,0,1,0,1,maple.container_category_s,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U32,U32,Single Use barrel (tar:32),product,32,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U33,U33,Single Use barrel (tar:33),product,33,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U34,U34,Single Use barrel (tar:34),product,34,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U35,U35,Single Use barrel (tar:35),product,35,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U36,U36,Single Use barrel (tar:36),product,36,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
container_U37,U37,Single Use barrel (tar:37),product,37,0,1,0,1,maple.container_category_u,serial,product.product_uom_categ_unit,product.product_uom_categ_unit,
