id,name,type,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id/id,tracking,uom_id/id,uom_po_id/id,product_tmpl_id/id,default_code,attribute_value_ids
maple.srp4saleRAMC4,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMC4,"Regular,Amber,NC4"
maple.srp4saleRFOC4,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOC4,"Regular,Dark,NC4"
maple.srp4saleRTFC4,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFC4,"Regular,Very Dark,NC4"
maple.srp4salePDOC4,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOC4,"Pending,Golden,NC4"
maple.srp4salePAMC4,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMC4,"Pending,Amber,NC4"
maple.srp4salePFOC4,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOC4,"Pending,Dark,NC4"
maple.srp4salePTFC4,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFC4,"Pending,Very Dark,NC4"
maple.srp4saleBDOC5,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOC5,"Organic,Golden,NC5"
maple.srp4saleBAMC5,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMC5,"Organic,Amber,NC5"
maple.srp4saleBFOC5,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOC5,"Organic,Dark,NC5"
maple.srp4saleBTFC5,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFC5,"Organic,Very Dark,NC5"
maple.srp4saleRDOC5,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOC5,"Regular,Golden,NC5"
maple.srp4saleRAMC5,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMC5,"Regular,Amber,NC5"
maple.srp4saleRFOC5,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOC5,"Regular,Dark,NC5"
maple.srp4saleRTFC5,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFC5,"Regular,Very Dark,NC5"
maple.srp4salePDOC5,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOC5,"Pending,Golden,NC5"
maple.srp4salePAMC5,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMC5,"Pending,Amber,NC5"
maple.srp4salePFOC5,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOC5,"Pending,Dark,NC5"
maple.srp4salePTFC5,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFC5,"Pending,Very Dark,NC5"
maple.srp4saleBDOC6,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOC6,"Organic,Golden,NC6"
maple.srp4saleBAMC6,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMC6,"Organic,Amber,NC6"
maple.srp4saleBFOC6,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOC6,"Organic,Dark,NC6"
maple.srp4saleBTFC6,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFC6,"Organic,Very Dark,NC6"
maple.srp4saleRDOC6,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOC6,"Regular,Golden,NC6"
maple.srp4saleRAMC6,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMC6,"Regular,Amber,NC6"
maple.srp4saleRFOC6,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOC6,"Regular,Dark,NC6"
maple.srp4saleRTFC6,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFC6,"Regular,Very Dark,NC6"
maple.srp4salePDOC6,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOC6,"Pending,Golden,NC6"
maple.srp4salePAMC6,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMC6,"Pending,Amber,NC6"
maple.srp4salePFOC6,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOC6,"Pending,Dark,NC6"
maple.srp4salePTFC6,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFC6,"Pending,Very Dark,NC6"
